,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
8434,FIFA Soccer 12,3DS,2011.0,Sports,EA Sports  ,0.08,0.27,0.0,0.04,0.39,67.0,13.0,4.2,17.0,EA Sports,E
8437,NHL 18,Xbox One,2017.0,Sports,EA Sports  ,0.32,0.03,0.0,0.04,0.38999999999999996,77.0,16.0,4.1,51.0,EA Sports,E10+
8438,SSX 3,Xbox,2003.0,Sports,EA Sports BIG   ,0.29,0.08,0.0,0.01,0.38,92.0,27.0,8.3,31.0,EA Canada,E
8439,Madden NFL 2005,Game Boy Advance,2004.0,Sports,EA Sports  ,0.28,0.1,0.0,0.01,0.39,79.0,9.0,7.8,6.0,Exient Entertainment,E
8443,Tiger Woods PGA Tour 14,PlayStation 3,2013.0,Sports,EA Sports  ,0.16,0.16,0.0,0.06,0.38,74.0,28.0,4.1,27.0,EA Tiburon,E
8444,EA Sports Active 2,Xbox 360,2010.0,Sports,Electronic Arts  ,0.18,0.16,0.0,0.04,0.37999999999999995,68.0,21.0,6.3,11.0,EA Canada,E
8445,Harry Potter: Quidditch World Cup,Game Boy Advance,2003.0,Sports,Electronic Arts  ,0.28,0.1,0.0,0.01,0.39,53.0,6.0,8.2,12.0,Magic Pockets,E
8446,Wii Sports Club,Wii U,2014.0,Sports,Nintendo  ,0.17,0.14,0.04,0.03,0.38,68.0,21.0,7.0,123.0,Nintendo,E10+
8447,NCAA Football 08,PlayStation 3,2007.0,Sports,Electronic Arts  ,0.35,0.0,0.0,0.03,0.38,77.0,13.0,7.9,29.0,EA Sports,E
8448,ESPN College Hoops 2K5,Xbox,2004.0,Sports,Sega  ,0.29,0.08,0.0,0.01,0.38,86.0,18.0,7.8,12.0,Visual Concepts,E
8449,NFL GameDay 2002,PlayStation 2,2001.0,Sports,Sony Computer Entertainment  ,0.19,0.15,0.0,0.05,0.38999999999999996,51.0,18.0,5.5,6.0,Red Zone Entertainment,E
8450,Sega Superstars Tennis,PlayStation 2,2008.0,Sports,Sega  ,0.1,0.0,0.0,0.28,0.38,70.0,9.0,8.4,7.0,Sumo Digital,E10+
8451,Brunswick Pro Bowling,Wii,2007.0,Sports,Crave Entertainment  ,0.35,0.01,0.0,0.03,0.39,52.0,11.0,5.4,23.0,Point of View,E
8452,SSX 3,GameCube,2003.0,Sports,EA Sports BIG   ,0.29,0.08,0.0,0.01,0.38,92.0,27.0,8.7,54.0,EA Canada,E
8454,Virtua Tennis 2009,PlayStation 3,2009.0,Sports,Sega  ,0.09,0.22,0.0,0.06,0.37,70.0,34.0,6.6,24.0,Sumo Digital,E
8455,FIFA 14,PC,2013.0,Sports,EA Sports  ,0.01,0.35,0.0,0.02,0.38,87.0,6.0,5.0,527.0,EA Canada,E
8457,Pro Evolution Soccer 2011 3D,3DS,2011.0,Sports,Konami  ,0.11,0.13,0.11,0.02,0.37,73.0,43.0,6.9,23.0,Konami,E
8458,NBA 2K7,PlayStation 3,2006.0,Sports,2K Sports  ,0.3,0.04,0.0,0.03,0.37,80.0,20.0,7.7,9.0,Visual Concepts,E
8463,Major League Baseball 2K6,Xbox 360,2006.0,Sports,2K Sports  ,0.34,0.0,0.0,0.03,0.37,66.0,22.0,4.1,38.0,Kush Games,E
8464,NBA Inside Drive 2002,Xbox,2002.0,Sports,Microsoft  ,0.28,0.08,0.0,0.01,0.37000000000000005,76.0,26.0,7.8,5.0,High Voltage Software,E
8468,Skate,PlayStation 3,2007.0,Sports,Electronic Arts  ,0.29,0.04,0.0,0.03,0.36,85.0,31.0,8.1,73.0,EA Black Box,T
8469,High Heat Major League Baseball 2003,PlayStation 2,2002.0,Sports,3DO  ,0.18,0.14,0.0,0.05,0.37,84.0,23.0,7.8,6.0,3DO,E
8471,Virtua Tennis 2009,Wii,2009.0,Sports,Sega  ,0.12,0.21,0.0,0.04,0.36999999999999994,73.0,33.0,7.3,24.0,Sumo Digital,E
8473,NFL Street 2 Unleashed,PSP,2005.0,Sports,Electronic Arts  ,0.34,0.0,0.0,0.03,0.37,73.0,23.0,7.3,15.0,EA Tiburon,E
8474,FIFA Street 2,PlayStation 2,2006.0,Sports,EA Sports BIG   ,0.17,0.13,0.02,0.04,0.36000000000000004,59.0,27.0,7.9,65.0,EA Canada,E
8475,NCAA Football 07,PSP,2006.0,Sports,Electronic Arts  ,0.34,0.0,0.0,0.03,0.37,75.0,16.0,7.9,11.0,EA Sports,E
8476,NBA Live 2003,Xbox,2002.0,Sports,EA Sports  ,0.31,0.04,0.0,0.01,0.36,82.0,17.0,7.2,6.0,EA Canada,E
8477,ESPN X Games Skateboarding,PlayStation 2,2001.0,Sports,Konami  ,0.18,0.14,0.0,0.05,0.37,58.0,15.0,7.7,12.0,KCEO,E
8478,High Heat Major League Baseball 2004,PlayStation 2,2003.0,Sports,3DO  ,0.18,0.14,0.0,0.05,0.37,83.0,17.0,8.2,13.0,3DO,E
8479,My Horse & Me,DS,2008.0,Sports,Atari  ,0.33,0.0,0.0,0.03,0.36,37.0,6.0,7.5,4.0,Mistic Software,E
8483,Tiger Woods PGA Tour 09,PSP,2008.0,Sports,EA Sports  ,0.07,0.19,0.0,0.1,0.36,53.0,4.0,5.5,6.0,Exient Entertainment,E
8484,ESPN NFL Football,Xbox,2003.0,Sports,Sega  ,0.27,0.08,0.0,0.01,0.36000000000000004,91.0,25.0,7.8,51.0,Visual Concepts,E
8485,Rapala Pro Fishing,PlayStation 2,2004.0,Sports,Activision  ,0.18,0.14,0.0,0.05,0.37,59.0,6.0,8.7,32.0,Activision,E
8486,Tiger Woods PGA Tour 14,Xbox 360,2013.0,Sports,EA Sports  ,0.21,0.12,0.0,0.03,0.36,77.0,28.0,6.5,28.0,EA Tiburon,E
8488,Football Manager Handheld 2010,PSP,2009.0,Sports,Sega  ,0.0,0.27,0.0,0.09,0.36,69.0,10.0,6.9,7.0,Sports Interactive,E
8493,NHL 2K10,Wii,2009.0,Sports,2K Sports  ,0.32,0.01,0.0,0.03,0.36,79.0,8.0,6.8,16.0,Take-Two Interactive,E10+
8495,Aggressive Inline,PlayStation 2,2002.0,Sports,Acclaim Entertainment  ,0.17,0.13,0.0,0.04,0.34,85.0,31.0,8.6,17.0,"Z-Axis, Ltd.",T
8496,NFL Street,GameCube,2004.0,Sports,EA Sports BIG   ,0.27,0.07,0.0,0.01,0.35000000000000003,81.0,30.0,8.2,6.0,EA Tiburon,E
8497,Tiger Woods PGA Tour 12: The Masters,Wii,2011.0,Sports,EA Sports  ,0.2,0.12,0.0,0.03,0.35,85.0,14.0,6.6,10.0,Electronic Arts,E
8498,MLB 06: The Show,PSP,2006.0,Sports,Sony Computer Entertainment  ,0.32,0.0,0.0,0.03,0.35,83.0,30.0,8.2,33.0,SCEA San Diego Studios,E
8499,Madden NFL 13,PlayStation Vita,2012.0,Sports,EA Sports  ,0.28,0.0,0.0,0.07,0.35000000000000003,63.0,6.0,7.3,40.0,EA Tiburon,E
8500,Racquet Sports,PlayStation 3,2010.0,Sports,Ubisoft  ,0.11,0.17,0.0,0.06,0.34,45.0,17.0,4.3,8.0,Asobo Studio,E
8501,FIFA Street 3,Xbox 360,2008.0,Sports,EA Sports BIG   ,0.17,0.14,0.0,0.04,0.35000000000000003,63.0,48.0,7.0,23.0,EA Canada,E
8503,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PlayStation 3,2010.0,Sports,Sega  ,0.09,0.19,0.0,0.07,0.35000000000000003,56.0,39.0,5.8,9.0,"Eurocom Entertainment Software, Eurocom",E
8504,MVP 06 NCAA Baseball,Xbox,2006.0,Sports,EA Sports  ,0.25,0.07,0.0,0.01,0.33,75.0,29.0,8.1,18.0,EA Canada,E
8506,NHL 09,PlayStation 3,2008.0,Sports,Electronic Arts  ,0.29,0.02,0.0,0.03,0.33999999999999997,88.0,25.0,7.8,42.0,EA Canada,E10+
8507,Shaun White Snowboarding,PSP,2008.0,Sports,Ubisoft  ,0.26,0.04,0.0,0.03,0.32999999999999996,70.0,5.0,7.5,4.0,Ubisoft,E10+
8508,NCAA Basketball 10,PlayStation 3,2009.0,Sports,Electronic Arts  ,0.31,0.0,0.0,0.03,0.33999999999999997,75.0,17.0,7.7,9.0,EA Canada,E
8509,Cabela's Dangerous Hunts 2011,PlayStation 3,2010.0,Sports,Activision  ,0.26,0.04,0.0,0.03,0.32999999999999996,60.0,4.0,4.9,10.0,Activision,T
8510,Virtua Tennis 2009,Xbox 360,2009.0,Sports,Sega  ,0.12,0.18,0.0,0.03,0.32999999999999996,70.0,43.0,6.3,16.0,Sumo Digital,E
8512,Kelly Slater's Pro Surfer,PlayStation 2,2002.0,Sports,Activision  ,0.16,0.13,0.0,0.04,0.33,77.0,19.0,8.7,15.0,Treyarch,E
