Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Ben 10: Protector of Earth,DS,,,6.8,10,1st Playable Productions,E,Action
Saints Row IV,Xbox 360,81,42,6.6,355,Volition Inc.,M,Action Adventure
Harry Potter and the Sorcerer's Stone,Game Boy Advance,64,8,7.4,13,Griptonite Games,E,Action Adventure
Saints Row 2,PlayStation 3,82,50,8.0,176,Volition Inc.,M,Action Adventure
Star Wars The Clone Wars: Lightsaber Duels,Wii,56,24,6.6,32,Krome Studios,T,Action Adventure
Uncharted: Golden Abyss,PlayStation Vita,80,80,7.5,897,"Naughty Dog, Sony Bend",T,Action Adventure
Just Cause 2,Xbox 360,81,74,8.0,302,Avalanche Studios,M,Action Adventure
Devil May Cry 4,PlayStation 3,84,63,8.5,515,Capcom,M,Action
Batman: Arkham Knight,Xbox One,85,16,7.2,946,Rocksteady Studios,M,General
LEGO Pirates of the Caribbean: The Video Game,Wii,73,14,7.3,21,Traveller's Tales,E10+,Action Adventure
Mafia II,Xbox 360,74,79,8.0,671,2K Czech,M,Action Adventure
Spider-Man 2: Enter: Electro,PlayStation,74,15,8.4,88,Vicarious Visions,E,Action Adventure
Pac-Man World 2,PlayStation 2,73,19,7.7,37,Namco,E,Action
Star Wars: The Force Unleashed II,PlayStation 3,63,41,6.7,152,LucasArts,T,Action
Metal Gear Rising: Revengeance,PlayStation 3,80,61,8.0,901,PlatinumGames,M,Action Adventure
Mafia II,PlayStation 3,75,61,7.9,435,2K Czech,M,Action Adventure
Dead Rising 2,Xbox 360,79,76,7.1,247,Blue Castle Games,M,Action Adventure
LEGO Star Wars III: The Clone Wars,Xbox 360,75,43,7.7,62,Traveller's Tales,E10+,Action Adventure
Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox,93,74,8.6,100,Ubisoft Shanghai,T,Action Adventure
Dying Light,Xbox One,74,26,7.9,504,Techland,M,Horror
Ryse: Son of Rome,Xbox One,60,77,6.4,1698,Crytek,M,Action Adventure
The SpongeBob SquarePants Movie,Game Boy Advance,,,7.4,5,WayForward,E,Action
Assassin's Creed Syndicate,Xbox One,78,22,6.5,590,Ubisoft Quebec,M,Historic
Star Wars: The Force Unleashed II,Xbox 360,61,59,5.9,248,LucasArts,T,Action
Frogger 2: Swampy's Revenge,PlayStation,77,4,8.2,12,Blitz Games,E,Action
Middle-earth: Shadow of Mordor,Xbox One,87,12,8.0,751,Monolith Productions,M,Fantasy
Yu-Gi-Oh! The Duelists of the Roses,PlayStation 2,59,14,8.0,96,Konami,E,Miscellaneous
LEGO Star Wars II: The Original Trilogy,PSP,83,11,8.1,49,Traveller's Tales,E10+,Action Adventure
Spider-Man: The Movie,Xbox,79,29,7.5,14,Treyarch,E,Action
Bakugan Battle Brawlers,DS,60,6,7.3,26,Now Production,E,Action
True Crime: Streets of LA,Xbox,77,39,8.0,31,"Luxoflux, Inc.",M,Action Adventure
Dead Rising 2,PlayStation 3,80,54,6.8,195,Blue Castle Games,M,Action Adventure
Metroid: Other M,Wii,79,71,6.7,618,Team Ninja,T,Action
Watch Dogs 2,Xbox One,81,11,7.4,339,Ubisoft Montreal,M,Action Adventure
Devil May Cry 4,Xbox 360,84,61,8.4,350,Capcom,M,Action
Saints Row IV,PlayStation 3,76,26,6.4,303,Volition Inc.,M,Action Adventure
Alan Wake,Xbox 360,83,100,8.2,1401,Remedy Entertainment,T,Action Adventure
Assassin's Creed Rogue,PlayStation 3,72,53,7.5,394,Ubisoft Sofia,M,Action Adventure
Manhunt,PlayStation 2,76,47,8.4,193,Rockstar North,M,Action Adventure
LEGO Harry Potter: Years 5-7,Wii,76,8,7.5,20,Traveller's Tales,E10+,Action Adventure
Assassin's Creed: Bloodlines,PSP,63,38,7.0,123,Griptonite Games,M,Action Adventure
Star Wars: The Force Unleashed,PlayStation 2,68,7,7.5,53,Krome Studios,T,Action
Lara Croft Tomb Raider: The Angel of Darkness,PlayStation 2,52,37,6.4,141,Core Design Ltd.,T,Action Adventure
Tom Clancy's Splinter Cell Pandora Tomorrow,PlayStation 2,87,45,8.2,51,Ubisoft Shanghai,T,Action Adventure
Star Wars Episode III: Revenge of the Sith,Xbox,61,44,8.0,63,Double Helix Games,T,Action Adventure
Ben 10: Protector of Earth,Wii,63,6,7.5,12,High Voltage Software,E10+,Action
