Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Enter the Matrix,PlayStation 2,2003.0,Action Adventure,Atari  ,1.78,1.12,0.09,0.19,3.18,62.0,30.0,8.2,157.0,Shiny Entertainment,T
Spider-Man,PlayStation,2000.0,Action Adventure,Activision  ,1.7,1.25,0.02,0.16,3.13,87.0,19.0,8.6,265.0,Neversoft Entertainment,E
Resident Evil 6,PlayStation 3,2012.0,Action Adventure,Capcom  ,0.88,0.97,0.88,0.39,3.12,74.0,34.0,5.6,1519.0,Capcom,M
Saints Row 2,Xbox 360,2008.0,Action Adventure,THQ  ,1.98,0.79,0.02,0.28,3.07,81.0,75.0,8.2,371.0,Volition Inc.,M
Metal Gear Solid V: The Phantom Pain,PlayStation 4,2015.0,Modern,Konami Digital Entertainment  ,0.97,1.15,0.5,0.42,3.04,93.0,86.0,8.2,5963.0,"Kojima Productions, Moby Dick Studio",M
Tom Clancy's Splinter Cell,Xbox,2002.0,Action Adventure,Ubisoft  ,1.85,1.04,0.0,0.13,3.02,93.0,46.0,8.6,149.0,Ubisoft Montreal,T
Hitman 2: Silent Assassin,PlayStation 2,2002.0,Action Adventure,Eidos Interactive  ,1.36,1.15,0.04,0.41,2.96,85.0,19.0,8.0,101.0,Io Interactive,M
Assassin's Creed: Brotherhood,PlayStation 3,2010.0,Action Adventure,Ubisoft  ,1.87,0.57,0.11,0.3,2.85,90.0,59.0,8.3,1186.0,Ubisoft Montreal,M
Skylanders: Spyro's Adventure,Wii,2011.0,Action,Activision  ,1.35,1.15,0.0,0.3,2.79,81.0,11.0,5.9,50.0,Toys for Bob,E10+
Star Wars: The Force Unleashed,Xbox 360,2008.0,Action,LucasArts  ,1.74,0.78,0.0,0.26,2.77,73.0,74.0,6.8,490.0,LucasArts,T
Saints Row: The Third,Xbox 360,2011.0,Action Adventure,THQ  ,1.26,1.14,0.07,0.3,2.77,84.0,70.0,7.7,533.0,Volition Inc.,M
LEGO Star Wars II: The Original Trilogy,PlayStation 2,2006.0,Action Adventure,LucasArts  ,1.85,0.64,0.01,0.19,2.69,84.0,32.0,8.7,75.0,Traveller's Tales,E10+
Hannah Montana,DS,2006.0,Action,Buena Vista  ,1.59,0.8,0.0,0.26,2.65,,,6.9,13.0,DC Studios,E
Tom Clancy's Splinter Cell,PlayStation 2,2003.0,Action Adventure,Ubisoft  ,1.15,1.11,0.0,0.4,2.65,89.0,24.0,7.9,135.0,Ubisoft Shanghai,T
LEGO Star Wars: The Complete Saga,Xbox 360,2007.0,Action,LucasArts  ,1.53,0.83,0.0,0.24,2.59,80.0,24.0,8.0,225.0,Traveller's Tales,E10+
